77029,"The Beatles","United Kingdom",1962-10-30,2013-12-08
billboard-us,32,1986-09-06,ms007771,"Twist And Shout"
billboard-us,29,1986-09-13,ms007771,"Twist And Shout"
billboard-us,25,1986-09-20,ms007771,"Twist And Shout"
billboard-us,23,1986-09-27,ms007771,"Twist And Shout"
billboard-us,26,1986-10-04,ms007771,"Twist And Shout"
billboard-us,36,1986-10-11,ms007771,"Twist And Shout"
billboard-us,47,1986-10-18,ms007771,"Twist And Shout"
billboard-us,56,1986-10-25,ms007771,"Twist And Shout"
billboard-us,71,1986-11-01,ms007771,"Twist And Shout"
billboard-us,75,1986-11-08,ms007771,"Twist And Shout"
billboard-us,99,1986-11-15,ms007771,"Twist And Shout"
billboard-us,71,1965-05-01,ms007780,"Yes It Is"
billboard-us,57,1965-05-08,ms007780,"Yes It Is"
billboard-us,46,1965-05-15,ms007780,"Yes It Is"
billboard-us,54,1965-05-22,ms007780,"Yes It Is"
billboard-us,6,1970-03-21,ms007930,"Let It Be"
billboard-us,2,1970-03-28,ms007930,"Let It Be"
billboard-us,2,1970-04-04,ms007930,"Let It Be"
billboard-us,1,1970-04-11,ms007930,"Let It Be"
billboard-us,1,1970-04-18,ms007930,"Let It Be"
billboard-us,2,1970-04-25,ms007930,"Let It Be"
billboard-us,2,1970-05-02,ms007930,"Let It Be"
billboard-us,3,1970-05-09,ms007930,"Let It Be"
billboard-us,4,1970-05-16,ms007930,"Let It Be"
billboard-us,6,1970-05-23,ms007930,"Let It Be"
billboard-us,10,1970-05-30,ms007930,"Let It Be"
billboard-us,21,1970-06-06,ms007930,"Let It Be"
billboard-us,23,1970-06-13,ms007930,"Let It Be"
billboard-us,44,1970-06-20,ms007930,"Let It Be"
billboard-us,79,1964-04-04,ms008027,"Thank You Girl"
billboard-us,61,1964-04-11,ms008027,"Thank You Girl"
billboard-us,49,1964-04-18,ms008027,"Thank You Girl"
billboard-us,37,1964-04-25,ms008027,"Thank You Girl"
billboard-us,40,1964-05-02,ms008027,"Thank You Girl"
billboard-us,35,1964-05-09,ms008027,"Thank You Girl"
billboard-us,49,1964-05-16,ms008027,"Thank You Girl"
billboard-us,40,1969-05-10,ms008197,"Don't Let Me Down"
billboard-us,36,1969-05-17,ms008197,"Don't Let Me Down"
billboard-us,35,1969-05-24,ms008197,"Don't Let Me Down"
billboard-us,42,1969-05-31,ms008197,"Don't Let Me Down"
billboard-us,69,1964-01-25,ms008367,"She Loves You"
billboard-us,21,1964-02-01,ms008367,"She Loves You"
billboard-us,7,1964-02-08,ms008367,"She Loves You"
billboard-us,3,1964-02-15,ms008367,"She Loves You"
billboard-us,2,1964-02-22,ms008367,"She Loves You"
billboard-us,2,1964-02-29,ms008367,"She Loves You"
billboard-us,2,1964-03-07,ms008367,"She Loves You"
billboard-us,2,1964-03-14,ms008367,"She Loves You"
billboard-us,1,1964-03-21,ms008367,"She Loves You"
billboard-us,1,1964-03-28,ms008367,"She Loves You"
billboard-us,3,1964-04-04,ms008367,"She Loves You"
billboard-us,4,1964-04-11,ms008367,"She Loves You"
billboard-us,8,1964-04-18,ms008367,"She Loves You"
billboard-us,19,1964-04-25,ms008367,"She Loves You"
billboard-us,36,1964-05-02,ms008367,"She Loves You"
billboard-us,71,1964-03-28,ms008394,"All My Loving"
billboard-us,58,1964-04-04,ms008394,"All My Loving"
billboard-us,50,1964-04-11,ms008394,"All My Loving"
billboard-us,48,1964-04-18,ms008394,"All My Loving"
billboard-us,45,1964-04-25,ms008394,"All My Loving"
billboard-us,59,1964-05-02,ms008394,"All My Loving"
billboard-us,45,1964-01-18,ms008465,"I Want To Hold Your Hand"
billboard-us,3,1964-01-25,ms008465,"I Want To Hold Your Hand"
billboard-us,1,1964-02-01,ms008465,"I Want To Hold Your Hand"
billboard-us,1,1964-02-08,ms008465,"I Want To Hold Your Hand"
billboard-us,1,1964-02-15,ms008465,"I Want To Hold Your Hand"
billboard-us,1,1964-02-22,ms008465,"I Want To Hold Your Hand"
billboard-us,1,1964-02-29,ms008465,"I Want To Hold Your Hand"
billboard-us,1,1964-03-07,ms008465,"I Want To Hold Your Hand"
billboard-us,1,1964-03-14,ms008465,"I Want To Hold Your Hand"
billboard-us,2,1964-03-21,ms008465,"I Want To Hold Your Hand"
billboard-us,2,1964-03-28,ms008465,"I Want To Hold Your Hand"
billboard-us,4,1964-04-04,ms008465,"I Want To Hold Your Hand"
billboard-us,7,1964-04-11,ms008465,"I Want To Hold Your Hand"
billboard-us,19,1964-04-18,ms008465,"I Want To Hold Your Hand"
billboard-us,24,1964-04-25,ms008465,"I Want To Hold Your Hand"
billboard-us,68,1964-02-01,ms008474,"Please Please Me"
billboard-us,57,1964-02-08,ms008474,"Please Please Me"
billboard-us,45,1964-02-15,ms008474,"Please Please Me"
billboard-us,29,1964-02-22,ms008474,"Please Please Me"
billboard-us,6,1964-02-29,ms008474,"Please Please Me"
billboard-us,4,1964-03-07,ms008474,"Please Please Me"
billboard-us,3,1964-03-14,ms008474,"Please Please Me"
billboard-us,3,1964-03-21,ms008474,"Please Please Me"
billboard-us,4,1964-03-28,ms008474,"Please Please Me"
billboard-us,5,1964-04-04,ms008474,"Please Please Me"
billboard-us,9,1964-04-11,ms008474,"Please Please Me"
billboard-us,16,1964-04-18,ms008474,"Please Please Me"
billboard-us,29,1964-04-25,ms008474,"Please Please Me"
billboard-us,53,1965-02-20,ms008493,"Eight Days A Week"
billboard-us,19,1965-02-27,ms008493,"Eight Days A Week"
